Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Image
1,CC0603KRNPO9BN220,YAGEO,CAP CER 22PF 50V C0G/NPO 0603,"2,636",In Stock,,2,2,Cut Tape (CT),311-4030-1-ND,0.10000,$0.20,1,,311-4030-1-ND,20,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf,,-,,Active,ROHS3 Compliant,EAR99,8532.24.0020,Taiwan,,311-4030-1-ND,//media.digikey.com/Renders/Yageo%20Renders/0603%289mmthickness%29.jpg
2,CL10B102KB8WPJC,Samsung Electro-Mechanics,CAP CER 1NF 50V X7R 0603,"32,417",In Stock,,5,5,Cut Tape (CT),1276-CL10B102KB8WPJCCT-ND,0.11000,$0.55,1,,1276-CL10B102KB8WPJCCT-ND,28,https://www.samsungsem.com/error500.html,,-,,Active,ROHS3 Compliant,EAR99,8532.24.0020,South Korea,,1276-CL10B102KB8WPJCCT-ND,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/Ceramic-Capacitor-CL-Series.jpg
3,CL10B103KB8WPJC,Samsung Electro-Mechanics,CAP CER 10NF 50V X7R 0603,"24,245",In Stock,,1,1,Cut Tape (CT),1276-CL10B103KB8WPJCCT-ND,0.11000,$0.11,1,,1276-CL10B103KB8WPJCCT-ND,28,//media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL10B103KB8WPJ_CharSheet.pdf,,-,,Active,ROHS3 Compliant,EAR99,8532.24.0020,South Korea,,1276-CL10B103KB8WPJCCT-ND,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/Ceramic-Capacitor-CL-Series.jpg
4,CC0603KRX7R9BB104,YAGEO,CAP CER 0.1UF 50V X7R 0603,"1,158,033",In Stock,,6,6,Cut Tape (CT),311-1344-1-ND,0.10000,$0.60,1,,311-1344-1-ND,20,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_20.pdf,,-,,Active,ROHS3 Compliant,EAR99,8532.24.0020,Taiwan,,311-1344-1-ND,//media.digikey.com/Renders/Yageo%20Renders/0603%289mmthickness%29.jpg
5,CL10B105KP8NNNC,Samsung Electro-Mechanics,CAP CER 1UF 10V X7R 0603,"172,345",In Stock,,1,1,Cut Tape (CT),1276-1946-1-ND,0.10000,$0.10,1,,1276-1946-1-ND,28,http://www.samsungsem.com/kr/support/product-search/mlcc/CL10B105KP8NNNC.jsp,,-,,Active,ROHS3 Compliant,EAR99,8532.24.0020,China,https://www.samsungsem.com/files/fileDown.do?key=ed1dfdfa-645e-4252-b707-17f9b1502dd1,1276-1946-1-ND,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/Ceramic-Capacitor-CL-Series.jpg
6,CL10A475KQ8NNWC,Samsung Electro-Mechanics,CAP CER 4.7UF 6.3V X5R 0603,"229,448",In Stock,,1,1,Cut Tape (CT),1276-1902-1-ND,0.10000,$0.10,1,,1276-1902-1-ND,28,http://www.samsungsem.com/kr/support/product-search/mlcc/CL10A475KQ8NNWC.jsp,,-,,Active,ROHS3 Compliant,EAR99,8532.24.0020,Philippines,https://www.samsungsem.com/files/fileDown.do?key=ed1dfdfa-645e-4252-b707-17f9b1502dd1,1276-1902-1-ND,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/Ceramic-Capacitor-CL-Series.jpg
7,C0805C106K3PAC7800,KEMET,CAP CER 10UF 25V X5R 0805,"69,501",In Stock,,5,5,Cut Tape (CT),399-11939-1-ND,0.28000,$1.40,1,,399-11939-1-ND,14,https://api.kemet.com/component-edge/download/datasheet/C0805C106K3PAC7800.pdf,,-,,Active,ROHS3 Compliant,EAR99,8532.24.0020,Malaysia,,399-11939-1-ND,"//media.digikey.com/Renders/Kemet%20Renders/0805-(2012-Metric)-2,00x1,20x1,00mm.jpg"
8,BZX84C4V3-7-F,Diodes Incorporated,DIODE ZENER 4.3V 300MW SOT23-3,"37,407",In Stock,,1,1,Cut Tape (CT),BZX84C4V3-FDICT-ND,0.17000,$0.17,1,,BZX84C4V3-FDICT-ND,47,https://www.diodes.com/assets/Datasheets/ds18001.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8541.10.0050,China,https://www.diodes.com/assets/Quality-Reliability-Docs/Master_CofC.pdf,BZX84C4V3-FDICT-ND,//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg
9,CDBHD240-G,Comchip Technology,BRIDGE RECT 1P 40V 2A MINI-DIP,"31,810",In Stock,,4,4,Cut Tape (CT),641-1213-1-ND,1.40000,$5.60,1,,641-1213-1-ND,32,https://www.comchiptech.com/admin/files/product/CDBHD240-G%20Thru.%20CDBHD2100-G%20%20%20%20%20RevC.PDF,,-,,Active,ROHS3 Compliant,EAR99,8541.10.0080,Taiwan,https://www.comchiptech.com/admin/files/tech/213_20201006093628.pdf,641-1213-1-ND,//media.digikey.com/photos/Comchip%20Tech%20Photos/MFG-%20641-TO-269AA.jpg
10,SDA006-7,Diodes Incorporated,BRIDGE RECT 3P 75V 215MA SOT363,"2,292",In Stock,,1,1,Cut Tape (CT),SDA006-7DICT-ND,0.62000,$0.62,1,,SDA006-7DICT-ND,53,https://www.diodes.com/assets/Datasheets/ds30559.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8541.10.0070,China,https://www.diodes.com/assets/Quality-Reliability-Docs/Master_CofC.pdf,SDA006-7DICT-ND,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg
