"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H4,H3,H2,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
2;"U1";"QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_HandSolder";1;"BQ25504";;;
3;"R9,R8";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"10M";;;
4;"R7";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"6.2M";;;
5;"R6";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"2.7M";;;
6;"R5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"1.3M";;;
7;"R4";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"8.25M";;;
8;"R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"1.67M";;;
9;"R2";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"5.6M";;;
10;"R1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"4.32M";;;
11;"L1";"L_Wuerth-3816_6.3x6.3mm";1;"22uH";;;
12;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Output";;;
13;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Vin";;;
14;"C6";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"0.1uF";;;
15;"C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF";;;
16;"C4";"CP_Radial_D14.0mm_P5.00mm";1;"220mF";;;
17;"C3";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"0.01uF";;;
18;"C2";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"4.7uF";;;
